"date_time","logger","logger_id","logger_model","year_tracked","year_deployed","year_retrieved","ring_number","euring_code","species","colony","lon_raw","lat_raw","lon_smooth1","lat_smooth1","lon_smooth2","lat_smooth2","disttocol_s2","eqfilter1","eqfilter2","eqfilter3","lat_smooth2_eqfilt3","sex","morph","subspecies","age","col_lon","col_lat","tfirst","tsecond","twl_type","conf","sun","software","light_threshold","analyzer","data_responsible","logger_yeartracked","posdata_file","session_id"
"2015-08-01 11:34:00","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",8.08919240859359,64.9972413350734,7.90537979748336,64.9729403704623,8.83047967171278,65.2219664281615,100.929040528235,1,1,1,65.2219664281615,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-08-01 01:46:00","2015-08-01 21:22:00",1,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-08-01 23:20:30","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",11.4567258916603,65.9331616262215,9.77295915012695,65.4652014806474,11.2306337667115,65.5978529361983,45.3479870096157,1,1,1,65.5978529361983,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-08-01 21:22:00","2015-08-02 01:19:00",2,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-08-02 11:10:30","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",13.948200186037,65.4996649289843,12.7024630388487,65.7164132776029,11.9991994128538,65.2855290542065,47.672357367417,1,1,1,65.2855290542065,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-08-02 01:19:00","2015-08-02 21:02:00",1,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-08-02 23:31:30","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",8.68906002639147,64.2032791185535,11.3186301062142,64.8514720237689,9.58466938540711,64.6976008512317,86.9142727837007,1,1,1,64.6976008512317,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-08-02 21:02:00","2015-08-03 02:01:00",2,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-08-03 11:38:00","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",7.05406491708152,64.844103847409,7.8715624717365,64.5236914829813,8.29730285707166,64.9436489540913,129.639026289053,1,1,1,64.9436489540913,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-08-03 02:01:00","2015-08-03 21:15:00",1,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-08-03 23:24:30","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",10.4191053287467,65.8806043744187,8.73658512291411,65.3623541109139,10.5411369278901,65.4127388330322,31.5211189442704,1,1,1,65.4127388330322,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-08-03 21:15:00","2015-08-04 01:34:00",2,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-08-04 11:09:00","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",14.283188977096,65.0024911579805,12.3511471529213,65.4415477661996,12.0579896963158,64.8564169178922,62.9787824504477,1,1,1,64.8564169178922,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-08-04 01:34:00","2015-08-04 20:44:00",1,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-08-04 23:29:00","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",9.27145873924508,63.5389762857214,11.7773238581705,64.2707337218509,10.475695740219,63.9645296640413,139.813311137569,1,1,1,63.9645296640413,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-08-04 20:44:00","2015-08-05 02:14:00",2,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-08-05 11:29:30","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",9.13405396839738,63.7548613192339,9.20275635382123,63.6469188024777,9.56844293693142,63.8813957218298,161.893515571165,1,1,1,63.8813957218298,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-08-05 02:14:00","2015-08-05 20:45:00",1,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-08-05 23:23:00","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",10.7464921698288,64.4750078127313,9.94027306911309,64.1149345659827,8.98740180253402,64.7427541514755,107.355906085186,1,1,1,64.7427541514755,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-08-05 20:45:00","2015-08-06 02:01:00",2,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
